user_id,department,day,login_count,file_access,web_requests,email_count,device_events,after_hours,synthetic_anomaly
user_001,Finance,1,7,37,133,27,1,0,0
user_001,Finance,2,3,35,129,20,3,1,0
user_001,Finance,3,7,47,109,18,0,1,0
user_001,Finance,4,4,41,90,17,2,0,0
user_001,Finance,5,5,39,166,24,0,0,0
user_001,Finance,6,4,15,111,14,2,0,0
user_001,Finance,7,4,26,92,15,2,0,0
user_001,Finance,8,6,42,135,22,2,0,0
user_001,Finance,9,5,42,131,22,3,0,0
user_001,Finance,10,5,43,162,21,2,0,0
user_002,HR,1,4,32,150,11,2,0,0
user_002,HR,2,6,36,143,28,1,0,0
user_002,HR,3,5,30,150,16,2,0,0
user_002,HR,4,7,36,159,23,1,0,0
user_002,HR,5,8,36,133,19,3,0,0
user_002,HR,6,7,34,130,6,4,0,0
user_002,HR,7,9,34,166,19,1,0,0
user_002,HR,8,4,34,117,13,2,0,0
user_002,HR,9,7,32,111,18,3,0,0
user_002,HR,10,4,29,100,23,3,0,0
user_003,IT,1,6,38,131,20,4,0,0
user_003,IT,2,5,37,141,28,0,0,0
user_003,IT,3,6,39,136,11,3,0,0
user_003,IT,4,7,37,183,16,2,0,0
user_003,IT,5,6,33,102,35,1,0,0
user_003,IT,6,5,43,145,16,3,0,0
user_003,IT,7,6,41,121,17,3,1,0
user_003,IT,8,5,39,170,20,2,0,0
user_003,IT,9,5,34,143,11,2,0,0
user_003,IT,10,7,30,146,19,0,0,0
user_004,Sales,1,3,33,112,12,2,0,0
user_004,Sales,2,6,28,119,19,1,0,0
user_004,Sales,3,4,28,148,15,3,0,0
user_004,Sales,4,4,34,125,16,2,1,0
user_004,Sales,5,1,45,96,23,0,0,0
user_004,Sales,6,5,39,99,14,1,0,0
user_004,Sales,7,6,27,60,12,2,0,0
user_004,Sales,8,5,32,89,17,1,0,0
user_004,Sales,9,3,22,101,17,2,0,0
user_004,Sales,10,4,23,82,9,1,0,0
user_005,Operations,1,5,25,76,20,1,0,0
user_005,Operations,2,6,38,117,32,1,1,0
user_005,Operations,3,5,36,152,11,2,0,0
user_005,Operations,4,4,37,72,4,0,0,0
user_005,Operations,5,8,31,94,22,2,0,0
user_005,Operations,6,4,38,125,14,3,0,0
user_005,Operations,7,5,41,103,21,3,0,0
user_005,Operations,8,3,25,115,24,1,0,0
user_005,Operations,9,5,43,80,14,2,0,0
user_005,Operations,10,5,39,87,19,0,0,0
user_006,Finance,1,3,45,116,5,2,0,0
user_006,Finance,2,4,40,128,19,1,0,0
user_006,Finance,3,7,45,147,5,2,1,0
user_006,Finance,4,2,29,79,23,0,0,0
user_006,Finance,5,5,23,104,12,3,0,0
