user_id,department,login_count,file_access,web_requests,email_count,device_events,after_hours,synthetic_anomaly,iforest_prediction,anomaly_score_raw,risk_score,risk_level,decision
user_018,IT,8.1,55.5,173.1,17.0,3.2,0.3,1,-1,0.1240418810396341,99.99999960330123,High,Investigate
user_026,Finance,7.2,52.5,159.1,15.8,3.2,0.3,1,-1,0.10087110696431945,90.8081824853294,High,Investigate
user_007,HR,8.5,46.6,140.7,17.0,2.3,0.3,1,-1,0.06558941312146715,76.81197863121332,High,Investigate
user_023,IT,4.6,28.5,99.0,16.7,1.0,0.3,0,1,-0.0072877125690519184,47.9017139480684,Medium,Review activity
user_029,Sales,6.5,43.8,138.2,22.0,1.6,0.0,0,1,-0.011133542934746776,46.37607784832882,Medium,Review activity
user_025,Operations,4.2,27.5,107.7,14.2,0.8,0.2,0,1,-0.011225137488721115,46.339742403237615,Medium,Review activity
user_010,Operations,3.8,26.1,101.3,12.2,1.4,0.0,0,1,-0.01352057497020609,45.42914522305855,Medium,Review activity
user_015,Operations,4.7,28.8,97.3,13.5,0.9,0.0,0,1,-0.02307709967998761,41.63808381396758,Medium,Review activity
user_001,Finance,5.0,36.7,125.8,20.0,1.7,0.2,0,1,-0.025323373379080638,40.746989844820895,Medium,Review activity
user_009,Sales,6.4,37.8,141.2,22.5,1.8,0.0,0,1,-0.03727312181018361,36.00653957641622,Medium,Review activity
user_030,Operations,6.1,37.3,121.5,15.7,2.1,0.0,0,1,-0.05063231825434378,30.706963042691264,Medium,Review activity
user_014,Sales,6.3,38.1,115.1,21.1,1.8,0.1,0,1,-0.054656427951426834,29.11060375499482,Low,Monitor
user_006,Finance,4.5,30.9,112.5,12.7,1.7,0.1,0,1,-0.059264479986347485,27.28259527166091,Low,Monitor
user_021,Finance,5.4,30.7,110.1,14.9,0.9,0.0,0,1,-0.06702570997771123,24.20372503369433,Low,Monitor
user_012,HR,3.9,32.2,105.9,14.0,1.0,0.1,0,1,-0.06862267416565937,23.570211336143405,Low,Monitor
user_022,HR,6.0,36.1,133.3,17.0,2.3,0.0,0,1,-0.06879331151414303,23.50251971325419,Low,Monitor
user_002,HR,6.1,33.3,135.9,17.6,2.2,0.0,0,1,-0.0710664476227868,22.600769459810056,Low,Monitor
user_003,IT,5.8,37.1,141.8,19.3,2.0,0.1,0,1,-0.07334001527835965,21.698848012238486,Low,Monitor
user_024,Sales,5.7,35.3,108.9,19.0,0.8,0.1,0,1,-0.07414381482120469,21.379981738141396,Low,Monitor
user_017,HR,6.2,40.7,141.5,17.6,1.5,0.1,0,1,-0.07769185461852812,19.97247878471061,Low,Monitor
user_016,Finance,4.1,27.2,104.7,14.9,1.5,0.0,0,1,-0.07939923576457153,19.29516281787703,Low,Monitor
user_008,IT,6.4,36.2,141.9,17.7,2.2,0.1,0,1,-0.08005751319375226,19.03402498440412,Low,Monitor
user_013,IT,4.6,28.3,108.5,16.6,1.3,0.0,0,1,-0.08705490035719993,16.25817024165827,Low,Monitor
user_028,IT,5.5,31.7,105.2,19.2,1.9,0.1,0,1,-0.09264528640558928,14.040471082854557,Low,Monitor
user_019,Sales,5.6,34.0,113.6,18.3,1.5,0.0,0,1,-0.10129382388362207,10.609607073840074,Low,Monitor
user_004,Sales,4.1,31.1,103.1,15.4,1.5,0.1,0,1,-0.1077632193141626,8.043205991680118,Low,Monitor
user_005,Operations,5.0,35.3,102.1,18.1,1.5,0.1,0,1,-0.11433706918027181,5.435367965472141,Low,Monitor
user_027,HR,4.9,34.0,116.0,16.1,1.3,0.1,0,1,-0.11448435278077318,5.3769407452211215,Low,Monitor
user_020,Operations,5.5,31.0,99.4,16.8,1.5,0.1,0,1,-0.11474423309815268,5.273846548102443,Low,Monitor
user_011,Finance,5.1,32.8,113.6,17.3,1.3,0.1,0,1,-0.12803856927843155,0.0,Low,Monitor
