method,threshold,utility
Uncalibrated XGBoost,0.5,0.5455207574654042
Uncalibrated XGBoost,0.55,0.5470988103908716
Uncalibrated XGBoost,0.6,0.5078599174556931
Uncalibrated XGBoost,0.65,0.42197742170429714
Uncalibrated XGBoost,0.7,0.30866108278708426
Uncalibrated XGBoost,0.75,0.17698470502549163
Uncalibrated XGBoost,0.8,0.029588492352512746
Uncalibrated XGBoost,0.85,-0.11334668608885652
Uncalibrated XGBoost,0.9,-0.20602694828841953
Uncalibrated XGBoost,0.95,-0.2317916970138383
Calibrated XGBoost,0.5,0.7064821558630736
Calibrated XGBoost,0.55,0.7100327749453751
Calibrated XGBoost,0.6,0.7084547220199078
Calibrated XGBoost,0.65,0.7012320951687303
Calibrated XGBoost,0.7,0.697044185481913
Calibrated XGBoost,0.75,0.691703083272639
Calibrated XGBoost,0.8,0.6859067734887109
Calibrated XGBoost,0.85,0.6607489681961641
Calibrated XGBoost,0.9,0.5927713037144938
Calibrated XGBoost,0.95,0.256190823015295
